,ticker,quarter,e_consensus,e_mean,w_consensus,actual
0,LULU,Q1'20,0.28,0.37,0.23,2.28
1,LULU,Q2'20,0.61,0.64,0.56,2.28
2,LULU,Q3'20,0.99,0.98,0.88,2.28
3,LULU,Q4'20,2.56,2.48,2.48,2.28
4,LULU,Q1'21,1.00,0.95,0.91,2.28
5,LULU,Q2'21,1.26,1.24,1.19,2.28
6,LULU,Q3'21,1.55,1.53,1.40,2.28
7,LULU,Q4'21,3.34,3.33,3.27,2.28
8,LULU,Q1'22,1.47,1.45,1.43,2.28
9,LULU,Q2'22,1.91,1.88,1.86,2.28
10,LULU,Q3'22,,,1.96,2.28
11,BIDU,Q1'20,0.71,0.73,0.54,1.25
12,BIDU,Q2'20,1.46,1.51,1.35,2.08
13,BIDU,Q3'20,2.16,2.15,1.99,3.10
14,BIDU,Q4'20,3.18,3.07,2.79,3.10
15,BIDU,Q1'21,2.02,1.95,1.64,1.93
16,BIDU,Q2'21,2.47,2.42,2.02,2.38
17,BIDU,Q3'21,2.27,2.49,2.00,2.30
18,BIDU,Q4'21,1.74,2.38,1.49,1.84
19,BIDU,Q1'22,0.92,1.12,0.75,1.77
20,BIDU,Q2'22,1.69,1.72,1.55,2.36
21,BIDU,Q3'22,,,2.17,-
22,ADBE,Q1'20,2.26,2.25,2.23,2.27
23,ADBE,Q2'20,2.36,2.35,2.32,2.27
24,ADBE,Q3'20,2.47,2.46,2.41,2.27
25,ADBE,Q4'20,2.71,2.70,2.66,2.27
26,ADBE,Q1'21,2.88,2.84,2.79,2.27
27,ADBE,Q2'21,3.00,2.96,2.81,2.27
28,ADBE,Q3'21,3.11,3.11,3.01,2.27
29,ADBE,Q4'21,3.27,3.27,3.20,2.27
30,ADBE,Q1'22,3.39,3.40,3.34,2.27
31,ADBE,Q2'22,3.34,3.36,3.31,2.27
32,ADBE,Q3'22,3.39,3.40,3.35,2.27
33,ADBE,Q4'22,,,3.50,2.27
34,VMW,Q1'20,1.46,1.45,1.34,1.32
35,VMW,Q2'20,1.72,1.71,1.64,1.32
36,VMW,Q3'20,1.70,1.70,1.60,1.32
37,VMW,Q4'20,2.24,2.22,2.23,1.32
38,VMW,Q1'21,1.23,1.31,1.20,1.32
39,VMW,Q2'21,1.50,1.51,1.45,1.32
40,VMW,Q3'21,1.57,1.57,1.44,1.32
41,VMW,Q4'21,2.12,2.10,2.05,1.32
42,VMW,Q1'22,1.74,1.66,1.59,1.32
43,VMW,Q2'22,1.72,1.71,1.65,1.32
44,VMW,Q3'22,1.62,1.63,1.54,1.32
45,VMW,Q4'22,2.06,2.03,1.98,1.32
46,ORCL,Q1'20,0.84,0.83,0.81,0.81
47,ORCL,Q2'20,0.90,0.90,0.88,0.81
48,ORCL,Q3'20,0.98,0.98,0.96,0.81
49,ORCL,Q4'20,1.18,1.19,1.15,0.81
50,ORCL,Q1'21,0.89,0.89,0.86,0.81
51,ORCL,Q2'21,1.01,1.00,1.00,0.81
52,ORCL,Q3'21,1.15,1.13,1.11,0.81
53,ORCL,Q4'21,1.36,1.35,1.31,0.81
54,ORCL,Q1'22,1.05,1.05,0.97,0.81
55,ORCL,Q2'22,1.15,1.14,1.11,0.81
56,ORCL,Q3'22,1.22,1.21,1.18,0.81
57,ORCL,Q4'22,1.39,1.40,1.37,0.81
58,HPQ,Q1'20,0.56,0.56,0.54,0.65
59,HPQ,Q2'20,0.49,0.50,0.44,0.65
60,HPQ,Q3'20,0.46,0.47,0.43,0.65
61,HPQ,Q4'20,0.55,0.55,0.52,0.65
62,HPQ,Q1'21,0.69,0.68,0.66,0.65
63,HPQ,Q2'21,0.95,0.92,0.89,0.65
64,HPQ,Q3'21,0.88,0.87,0.84,0.65
65,HPQ,Q4'21,0.94,0.93,0.88,0.65
